goos: linux
goarch: amd64
pkg: basic-webserver/research/datastar-parity/go-reference
cpu: AMD Ryzen 7 9700X 8-Core Processor
BenchmarkOfficialSDKFinite/identity/256-16         	  264814	      1299 ns/op	 197.03 MB/s	       305.0 wire-B/response	    6674 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/identity/256-16         	  278589	      1279 ns/op	 200.17 MB/s	       305.0 wire-B/response	    6674 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/identity/256-16         	  286054	      1248 ns/op	 205.17 MB/s	       305.0 wire-B/response	    6674 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/identity/256-16         	  286450	      1320 ns/op	 193.94 MB/s	       305.0 wire-B/response	    6674 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/identity/256-16         	  263443	      1326 ns/op	 193.09 MB/s	       305.0 wire-B/response	    6674 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/brotli-idiomatic/256-16 	     484	    758902 ns/op	   0.34 MB/s	        95.00 wire-B/response	 8293261 B/op	     183 allocs/op
BenchmarkOfficialSDKFinite/brotli-idiomatic/256-16 	     474	    780949 ns/op	   0.33 MB/s	        95.00 wire-B/response	 8292558 B/op	     182 allocs/op
BenchmarkOfficialSDKFinite/brotli-idiomatic/256-16 	     484	    773997 ns/op	   0.33 MB/s	        95.00 wire-B/response	 8292234 B/op	     181 allocs/op
BenchmarkOfficialSDKFinite/brotli-idiomatic/256-16 	     457	    780737 ns/op	   0.33 MB/s	        95.00 wire-B/response	 8292095 B/op	     181 allocs/op
BenchmarkOfficialSDKFinite/brotli-idiomatic/256-16 	     463	    768317 ns/op	   0.33 MB/s	        95.00 wire-B/response	 8293013 B/op	     182 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/256-16         	    2762	    127426 ns/op	   2.01 MB/s	       105.0 wire-B/response	 1113166 B/op	      64 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/256-16         	    2901	    126326 ns/op	   2.03 MB/s	       105.0 wire-B/response	 1112824 B/op	      64 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/256-16         	    2962	    122627 ns/op	   2.09 MB/s	       105.0 wire-B/response	 1113520 B/op	      65 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/256-16         	    2943	    122792 ns/op	   2.08 MB/s	       105.0 wire-B/response	 1113277 B/op	      64 allocs/op
BenchmarkOfficialSDKFinite/brotli-equivalent-q4-w18/256-16         	    2628	    122706 ns/op	   2.09 MB/s	       105.0 wire-B/response	 1113264 B/op	      64 allocs/op
BenchmarkOfficialSDKFinite/identity/4096-16                        	  224816	      1533 ns/op	2672.49 MB/s	      4145 wire-B/response	   11293 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/identity/4096-16                        	  227798	      1543 ns/op	2654.39 MB/s	      4145 wire-B/response	   11297 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/identity/4096-16                        	  229154	      1587 ns/op	2581.32 MB/s	      4145 wire-B/response	   11294 B/op	      26 allocs/op
BenchmarkOfficialSDKFinite/identity/4096-16                        	  228745	      1546 ns/op	2649.82 MB/s	      4145 wire-B/response	   11296 B/op	      26 allocs/op
